PSS_SCHOOL_ID,PSS_INST,LoGrade,HiGrade,PSS_ADDRESS,PSS_CITY,PSS_COUNTY_NO,PSS_COUNTY_FIPS,PSS_STABB,PSS_FIPS,PSS_ZIP5,PSS_PHONE,PSS_SCH_DAYS,PSS_STU_DAY_HRS,PSS_LIBRARY,PSS_ENROLL_UG,PSS_ENROLL_PK,PSS_ENROLL_K,PSS_ENROLL_1,PSS_ENROLL_2,PSS_ENROLL_3,PSS_ENROLL_4,PSS_ENROLL_5,PSS_ENROLL_6,PSS_ENROLL_7,PSS_ENROLL_8,PSS_ENROLL_9,PSS_ENROLL_10,PSS_ENROLL_11,PSS_ENROLL_12,PSS_ENROLL_T,PSS_ENROLL_TK12,PSS_RACE_AI,PSS_RACE_AS,PSS_RACE_H,PSS_RACE_B,PSS_RACE_W,PSS_RACE_P,PSS_RACE_2,PSS_FTE_TEACH,PSS_LOCALE,PSS_COED,PSS_TYPE,PSS_LEVEL,PSS_RELIG,PSS_COMM_TYPE,PSS_INDIAN_PCT,PSS_ASIAN_PCT,PSS_HISP_PCT,PSS_BLACK_PCT,PSS_WHITE_PCT,P_PACISL_PCT,P_TWOMORE_PCT,PSS_STDTCH_RT,PSS_ORIENT,PSS_COUNTY_NAME,PSS_ASSOC_1,PSS_ASSOC_2,PSS_ASSOC_3,PSS_ASSOC_4,PSS_ASSOC_5,PSS_ASSOC_6,PSS_ASSOC_7,PSS_ASSOC_8
AA890253,BIBLE BAPTIST CHRISTIAN SCHOOL,2,17,2780 MOUNT CARMEL RD,HAMPTON,13151,151,GA,13,30228,7709464700,180,7.08,Yes,,5,8,6,16,7,15,14,21,18,13,12,17,12,11,175,170,0,11,3,82,74,0,0,16.8,41,1,1,3,2,4,0,6.47,1.76,48.24,43.53,0,0,10.12,5,HENRY,American Association of Christian Schools (AACS),,,,,,,
00298773,BIBLE BAPTIST SCHOOL,2,17,4700 SKIDAWAY RD,SAVANNAH,13051,051,GA,13,31404,9123523067,180,8.5,Yes,,13,9,17,4,15,15,20,11,15,18,15,16,21,15,204,191,0,0,5,4,5,0,177,18.8,12,1,1,3,2,1,0,0,2.62,2.09,2.62,0,92.67,10.16,5,CHATHAM,This school does not belong to ANY associations or organizations,,,,,,,
00296186,BLESSED SACRAMENT SCHOOL,2,13,1003 E VICTORY DR,SAVANNAH,13051,051,GA,13,31405,9123566987,180,7.5,Yes,,26,48,42,53,35,50,38,51,45,51,,,,,439,413,0,4,7,29,370,0,3,25,12,1,1,1,1,1,0,0.97,1.69,7.02,89.59,0,0.73,16.52,1,CHATHAM,Other religious school association(s),Other school association(s),,,,,,
A0102864,BLESSED TRINITY CATHOLIC HIGH SCHOOL,14,17,11320 WOODSTOCK RD,ROSWELL,13121,121,GA,13,30075,6782779083,180,7,Yes,,,,,,,,,,,,257,252,243,226,978,978,1,29,80,17,824,0,27,72,13,1,1,2,1,1,0.1,2.97,8.18,1.74,84.25,0,2.76,13.58,1,FULTON,National Catholic Educational Association (NCEA),State or regional independent school association,,,,,,
A0992025,BRADDY PREPARATORY ACADEMY,6,17,542 MORELAND AVE SE,ATLANTA,13089,089,GA,13,30316,4046220506,180,6,No,,,,5,7,9,7,7,6,10,9,15,10,15,12,112,112,0,0,1,109,1,0,1,8.3,11,1,1,3,2,1,0,0,0.89,97.32,0.89,0,0.89,13.49,5,DEKALB,This school does not belong to ANY associations or organizations,,,,,,,
A1501233,BRADFIELD CENTER AULT ACADEMY,11,16,1022 E DEPOT ST,LAGRANGE,13285,285,GA,13,30241,7068841717,180,7,Yes,,,,,,,,,2,3,14,12,6,2,,39,39,0,0,4,18,17,0,0,6.1,32,3,6,3,3,3,0,0,10.26,46.15,43.59,0,0,6.39,30,TROUP,This school does not belong to ANY associations or organizations,,,,,,,
00296823,BRANDON HALL SCHOOL,11,17,1701 BRANDON HALL DR,ATLANTA,13121,121,GA,13,30350,7703948177,177,7.25,No,,,,,,,,,2,5,16,18,29,28,43,141,141,0,30,1,24,84,0,2,29.8,12,1,1,3,2,1,0,21.28,0.71,17.02,59.57,0,1.42,4.73,27,FULTON,National Association of Independent Schools (NAIS),State or regional independent school association,The Association of Boarding Schools (TABS),,,,,
A1300999,BRASELTON CHRISTIAN ACADEMY,2,17,401 ZION CHURCH RD,BRASELTON,13157,157,GA,13,30517,7068249943,180,6.5,Yes,,10,,8,5,4,1,9,10,2,10,4,11,6,8,88,78,0,2,4,5,67,0,0,7.4,21,1,1,3,2,2,0,2.56,5.13,6.41,85.9,0,0,10.54,8,JACKSON,American Association of Christian Schools (AACS),Association of Christian Schools International (ACSI),Other religious school association(s),,,,,
00297066,BRENTWOOD SCHOOL,2,17,PO BOX 955,SANDERSVILLE,13303,303,GA,13,31082,4785525136,180,7,Yes,,23,20,20,22,12,22,22,24,25,28,30,17,15,26,306,283,0,7,2,3,269,0,2,28.6,41,1,1,3,3,4,0,2.47,0.71,1.06,95.05,0,0.71,9.9,30,WASHINGTON,State or regional independent school association,Other school association(s),,,,,,
A1301002,BRENWOOD ACADEMY,2,7,8991 E CHEROKEE DR,CANTON,13057,057,GA,13,30115,7707044925,180,6,Yes,,90,16,4,2,,,,,,,,,,,112,22,0,1,4,3,13,0,1,1,21,1,1,1,3,2,0,4.55,18.18,13.64,59.09,0,4.55,22,30,CHEROKEE,Other school association(s),,,,,,,
